"brand","collectionId","collectionName","created","desc","id","model","price","type","updated"
"Intel","0alx16pubju1uwz","components","2024-11-13 18:35:55.267Z"," A powerful 13th-generation Intel processor with 14 cores (6 Performance + 8 Efficient) and 20 threads. Excellent for gaming and multitasking, with improved efficiency for productivity.","1thv2b3mwkxwidv","Core i5-13600K","₹22,750","CPU","2024-11-13 18:35:55.267Z"
"AMD","0alx16pubju1uwz","components","2024-11-13 18:36:44.760Z"," A strong performer in AMD's Ryzen 7000 series, this CPU has 8 cores and 16 threads with Zen 4 architecture. Ideal for content creation and gaming, it supports DDR5 and PCIe 5.0.","vozfoa3mer93an2","Ryzen 7 7700X","₹26,450","CPU","2024-11-13 18:36:44.760Z"
"Intel","0alx16pubju1uwz","components","2024-11-13 18:37:51.987Z","A high-end CPU from Intel’s Alder Lake generation with 16 cores (8 Performance + 8 Efficient) and 24 threads. Suited for enthusiasts who need high processing power for gaming and intensive tasks.","zdndfkea82ptf67","Core i9-12900K"," ₹39,040","CPU","2024-11-13 18:37:51.987Z"
"Intel","0alx16pubju1uwz","components","2024-11-13 18:38:48.516Z","A budget-friendly choice in AMD's Ryzen 5000 series, with 6 cores and 12 threads based on the Zen 3 architecture. Great for gaming and general-purpose tasks, offering good performance per dollar.","920oq8f4ukqrr7u","Ryzen 5 5600X","₹14,099","CPU","2024-11-13 18:38:48.516Z"
"Intel","0alx16pubju1uwz","components","2024-11-13 18:39:54.216Z","An affordable option for entry-level builds, this 4-core, 8-thread CPU provides decent performance for basic gaming and everyday tasks. It’s ideal for budget-friendly builds","q7cgecynz26z8i1","Core i3-12100F"," ₹8,240","CPU","2024-11-13 18:39:54.216Z"
"ASUS","0alx16pubju1uwz","components","2024-11-13 18:41:46.803Z","A high-performance, feature-rich motherboard with Wi-Fi 6 support, PCIe 5.0 compatibility, and support for DDR4 and DDR5 RAM","nflmqbom7tl8gql","ROG Strix Z690-A Gaming WiFi D4","₹27,000","Motherboard","2024-11-13 18:41:46.803Z"
"Corsair","0alx16pubju1uwz","components","2024-11-13 18:42:53.510Z","Reliable and efficient DDR4 memory with heat spreaders and solid overclocking potential, ideal for gaming and productivity.","nqsaw2ax3gbwham","Vengeance LPX 16GB (2 x 8GB) DDR4-3600","₹3,480","RAM","2024-11-13 18:42:53.510Z"
"NVIDIA","0alx16pubju1uwz","components","2024-11-13 18:43:58.375Z","Powerful GPU for gaming, VR, and content creation with ray-tracing capabilities and DLSS support","067s2rmwb36kqfd","GeForce RTX 4070","₹52,630","GPU","2024-11-13 18:43:58.375Z"
"MSI","0alx16pubju1uwz","components","2024-11-13 18:45:01.127Z","Reliable AM5 motherboard supporting the latest DDR5 memory, PCIe 5.0, and Wi-Fi 6, perfect for AMD's latest generation.","66lawam81ojunlh","MPG B650 TOMAHAWK WiFi","₹22,790","Motherboard","2024-11-13 18:45:01.127Z"
"G.Skill","0alx16pubju1uwz","components","2024-11-13 18:46:13.652Z","High-performance DDR5 memory with RGB lighting, great for demanding applications and high-end gaming.","bprygmqcuhh59ew","Trident Z5 RGB 32GB (2 x 16GB) DDR5-6000","₹10,090","RAM","2024-11-13 18:46:13.652Z"
"AMD","0alx16pubju1uwz","components","2024-11-13 18:47:03.247Z","A high-end graphics card from AMD, suitable for 4K gaming and content creation with advanced ray tracing.","psy39fpbiltdb0g","Radeon RX 7900 XT","₹68,799","GPU","2024-11-13 18:47:03.247Z"
"Gigabyte","0alx16pubju1uwz","components","2024-11-13 18:47:38.856Z","A top-tier motherboard designed for overclocking and high-performance systems, with robust cooling and DDR5 support.","ahn6ifqgtc8nvvu","Z690 AORUS Master","₹47,436","Motherboard","2024-11-13 18:47:58.098Z"
"Kingston","0alx16pubju1uwz","components","2024-11-13 18:49:02.265Z","Kingston's reliable DDR5 memory with high speeds, designed for smooth multitasking and intensive applications.","u1jizcts7z4qqf8"," FURY Beast 32GB (2 x 16GB) DDR5-5200","₹9,347","RAM","2024-11-13 18:49:02.265Z"
"NVIDIA","0alx16pubju1uwz","components","2024-11-13 18:49:53.785Z","One of NVIDIA's top-performing GPUs with excellent 4K gaming, ray-tracing, and rendering capabilities for demanding workloads.","9m8fy943s7ok0fw","GeForce RTX 4080","₹1,10,000","GPU","2024-11-13 18:49:53.785Z"
"ASUS","0alx16pubju1uwz","components","2024-11-13 18:51:46.426Z","Durable and well-built motherboard with PCIe 4.0 support, designed for mid-range builds with ample connectivity.","5m07kfe22tw3odk","TUF Gaming B550-PLUS","₹16,149","Motherboard","2024-11-13 18:51:46.426Z"
"Crucial","0alx16pubju1uwz","components","2024-11-13 18:53:19.112Z","Affordable and high-quality memory for mid-range gaming and general use, with excellent reliability.","2yr2ok1ysmw0gaf","Ballistix 16GB (2 x 8GB) DDR4-3200","₹5,499","RAM","2024-11-13 18:53:19.112Z"
"AMD","0alx16pubju1uwz","components","2024-11-13 18:54:16.418Z","Great performance for 1080p and 1440p gaming, capable of smooth graphics and moderate ray tracing.","g3wfxlxl6elf2t2","Radeon RX 6700 XT","₹32,700","GPU","2024-11-13 18:54:16.418Z"
"ASRock","0alx16pubju1uwz","components","2024-11-13 18:55:25.203Z","A budget-friendly motherboard with all essential features, supporting DDR4 RAM and PCIe 4.0 for decent performance.","qjx10i8ahx9ih2v","B660M Pro RS","₹11,130","Motherboard","2024-11-13 18:55:25.203Z"
"TeamGroup","0alx16pubju1uwz","components","2024-11-13 18:56:16.679Z","Affordable, reliable RAM ideal for budget builds, balancing price and performance well.","19x7bqwa79vgjsn","T-Force Vulcan Z 16GB (2 x 8GB) DDR4-3200","₹4,645","RAM","2024-11-13 18:56:16.679Z"
"NVIDIA","0alx16pubju1uwz","components","2024-11-13 18:57:36.094Z","Budget-friendly GPU ideal for 1080p gaming and light content creation, known for solid performance without ray tracing.","jgl7bsgu4upfqma","GeForce GTX 1660 Super","₹21,140","GPU","2024-11-13 18:57:36.094Z"